Author,Date,Cool,Funny,Useful,Rating,Message,Author Reviews,Author Friends,(view source)
Ryan K.,31/08/22,,,,5,"Great place to get sushi! I visited Ten on a Tuesday evening and they were bustling but there were tables available. The staircase leading up to the restaurant has candles set in the bricks, and there are candles at every table inside the restaurant. The lighting is low and the style is generally minimalist with a focus on the light fixtures. We split the cuttlefish tempura, maguro karai honey roll, and hotate roll. The tempura was my favorite with a lovely flavor and the perfect amount of coating. The sushi rolls were as good as any that I have tried. I would recommend Ten if you are in the mood for sushi.",674,21,view review
Ben G.,12/10/22,,,,2,"I would not recommend to go here. The sushi was sub par: seaweed was chewy and rice was bland. Service was way too slow, taking over an hour to recieve orders. Other than sushi, dishes were over seasoned, to the point that you could only taste the seasoning. Add to that, any party over 5 people will be charged a 20% automatic gratuity. Definitely not worth it, there are better options in Charlottesville.",5,,view review
Nancy H.,21/10/22,,,,3,"Visited Ten on a Friday night and would definitely recommend reserving well ahead of time as the restaurant gets very busy on the weekends. My friends and I got the omakase and were impressed by the nigiri pieces. Ten is generous with size of the fish for the omakase compared to other omakase places that I have visited and the various fish that we did sample tasted fresh and buttery. We also tried the Japanese Wagyu beef roll which was alright but I don't think I would get it again. The wagyu was soft and rich but the experience eating it reminded me of a teriyaki rice bowl, I think I just prefer getting fish with my sushi and rolls. Additionally, the wagyu roll was rolled poorly and would break apart immediately when we tried to pick the pieces up with our chopsticks which made it hard to experience the flavors from the roll and the beef together. The Hotate roll was much better and rolled properly. Their lychee martini is definitely on the stronger end. I would recommend opting for the omakase / nigiri if you were to try out Ten but we were disappointed by the lack of attention regarding clean plating as one of my friend's soy sauce dish had an oily residue on it.",201,33,view review
Andy N.,17/11/22,,,2,5,"I have been DYING to try Ten for the longest time. I've always heard raving reviews, and Ten did not disappoint. From the moment I walked in to the very end, it was a surreal experience because of the kind and passionate staff, beautiful and elegant decor, location overlooking the Downtown Mall, and the food that melts in your mouth dispersing with a wide range of flavor. Our waiter took us on a historic journey and knew every tiny detail about every dish and it's history which was an unexpected highlight of the night. As for the food, every dish is unique in its own way, but the commonality of freshness that you won't get anywhere else. You can tell it has been handled with care and love. And even on the 'cheaper' dishes, they do not skimp out on the portions such as the tempura lobster and cuttlefish. The sashimi was exciting because we didn't know what we were getting but knew it was going to be delicious. It was fresh, flavorful, and gave us an opportunity to taste many different pieces that I wouldn't have ordered otherwise. My absolute favorite dish were the scallops; I had never tasted scallops like those before. You just have to go try it out and treat yourself!",229,88,view review
Oliver B.,3/12/22,,,,5,"Great food, attentive service and a pleasant atmosphere. I enjoyed my first visit there last night and cannot wait to go back. I'd highly recommend making a reservation and checking it out.",4,30,view review
Raven L.,28/01/23,1,,1,5,"Up the stairs you find a beautiful, laid back sushi bar! We felt a little under dressed as this place was definitely on the higher end. Everyone was friendly and the sushi was melt in your mouth delicious. We've never had such fresh sushi before. Definitely recommend if you're in the area, but do a little menu research beforehand- the menu features a tiny print and there is low lighting in the restaurant itself.",75,97,view review
Heather D.,9/2/23,,,1,5,"Such an amazing experience at Ten tonight! Our server Jack took so much time to orient us to the menu and the restaurant, which really had a fascinating history. We started with the Aburi Saba, which was extremely flavorful with rich umami flavor (although small, but definitely not the point of the dish to be filling). We each got a sake flight, both of which had three delicious sake tastings. We ended up deciding to do a follow-up glass of the Yoshi No Gawa. Finally, we had four rolls-the Spicy Toro, the Stella Blue Crab Roll, the Wasabi Roll, and the Negi Toro. Favorites were definitely the Spicy Toro (truly just amazing, not too spicy but so flavorful) and the Stella Blue Crab Roll (a very unique, but very Virginian, sushi roll). We can't wait to come back to try the Omakase and Osusume!",23,398,view review
Nick W.,20/02/23,,,,2,"Besides the lychee martini, the sushi was okay. I think the gyoza was probably better than the sushi itself which was quite disappointing... However, the vibe is really cute and the staff was amazing. If you want a cute sushi date night in Charlottesville Ten is the place to go, but make sure to make reservation in ADVANCE.",29,2,view review
Emily B.,21/02/23,2,1,2,5,Ten is a really nice sushi place with a fun insane and great staff. The sushi dishes are so yummy but very small for their price so be prepared to order a ton and spend some money. I don't go all the time but when I do the food never dissappoints.,246,110,view review
Kathryn C.,7/4/23,,,,4,"First, the restaurant atmosphere was great! I can here for my anniversary dinner and it set the tone very well- classy and romantic. We were pretty hungry coming in, and the food we got was sufficient. Compared to other sushi restaurants, this one was fairly priced. The wagyu and halibut were great, but I'm not sure the sushi rolls are worth. With that price, we could've gotten more at now and zen across the street. Regardless, we had a positive experience and would come again.",56,60,view review
Graysen V.,12/4/23,,,1,3,"Known as being a date night spot, ten has an elevated vibe and elevated prices. The sushi is good enough that the prices are okay on occasion but can find similar sushi for lower elsewhere.",167,37,view review
David C.,5/5/23,,1,,2,"This restaurant was a massive disappointment, both in terms of food and service. The service was annoying and pretentious. When I've already ordered something, I don't need a BS lecture about how it will help open up my palette for the disappointment to come. I MIGHT have forgiven this if the food was good, but no such luck. The special ""bathed overnight in marinade then kissed with a torch"" miso sea bass was overdone to the point of being rubbery, and took twice as long as promised. The unagi/avocado roll was sickly sweet. The spicy scallop roll had no flavor other than heat. The chu-toro nigiri was excellent, but 1 for 6 doesn't cut it at any price. 2/5 only because we didn't get sick, and the tea was decent.",100,1,view review
D D.,16/09/23,,,,3,"Make sure you have reservations.  If not, they throw you at the sushi bar or bar.  We went on a Wednesday at 6 PM  thinking it was not a busy night.  We were told no tables available.  We chose the sushi bar.  It took us an hour to eat and some tables were vacant for the entire time.  Our anniversary turned out to be nothing special since seating was below par based on what we experienced in the past at Ten. The food was very good as well as the service.",11,,view review
Kay D.,31/10/23,,,,3,"One word describes this place....confusing.  First of all, you're more likely to walk into the restaurant next door as the entrance to the restaurant is actually up a flight of steep stairs thru a glass door.  After you've gone up, you'll be greeted into a very dimly lit & ambiance more like that of a chic bar in NYC, not what you'd expect of a Japanese sushi restaurant.  The bar area was the most impressive feature about this place.  I could barely read the menu as it was so dark (always makes me feel suspicious of restaurants that are so dimly lit).  Server was friendly.  Ordered green salad & seaweed salad both were good but sushi rolls were like the ones you'd get from a grocery store, just nicely plated.  Descriptions of the sushi on the menu do not meet the expectations.  
Perhaps the objective of coming to this place is not for the food, but for a night out to enjoy drinks & the ambiance of the bar.",37,,view review
Emma C.,22/11/23,,,,3,"Nice atmosphere. It felt like we were inside a rich guys nice home that came with a sushi bar and kitchen. The service over the phone was a little shocking as the man I talked to was rude and said ""nah"" multiple times when I was checking for availability. But we showed up and were seated at the bar and had a great evening with quality sushi.",2,,view review
Emily H.,23/11/23,,,,5,"This was our second time at Ten celebrating a birthday this time. We made a reservation around a month in advance for a Saturday night. For drinks we got the Tokobetsu Flight. They ran out of another flight so we got this one instead. Out of the three, our favorite was the okunomatsu. It was the lightest smoothest one on the palette. For an appetizer we got the aburi saba because we love mackerel and it was delicious! There were some seaweed it seemed like at the bottom and it really made the dish. We also got the negi toro and that was my least favorite. I wanted to have toro so thought it would be nice to get an additional piece of it but I didn't know it would be minced toro. Compared to the other dishes, it wasn't that special and I don't think I will order it again because it was kind of lacking but it was a nice change in flavor since it has seaweed. 
The main star of the show was the omakase 20 piece sashimi. It was very filling and every single piece of fish was quality. It tasted very fresh and they all had different distinct mouthfeels so it was such a wonderful tasting experience trying all the different pieces. We also ordered an additional piece of uni because it was a special occasion. We had originally ordered 2 pieces but they were running out and so we got the last piece. We love this place since we're both sushi lovers and would definitely recommend if celebrating a special occasion. Since we were celebrating a birthday, we also got gifted their warm chocolate cake and it was so delicious!!! They even had a lit candle which was adorable.",74,5,view review
Camron S.,24/01/24,,,,5,"Lovely ambiance, Excellent service. Good food.

We had the soft-shell crab maki, miso soup, gyoza, and edamame. The gyoza were terrific, as were the edamame and the maki. The miso was miso, but it was good. I loved the interior lighting and the high ceilings and windows. The prices were reasonable.",17,3,view review
Anna P.,3/2/24,,,,3,"Lovely atmosphere, clearly aimed at an elevated date night or celebration.

On a packed Friday night, service could not keep up. The staff communicated well, but they were clearly spread thin. We were not rushed at all, and as the rush passed, the service improved. 

Food from the kitchen was cooked well, but the sushi was hit or miss.
Sauces are applied thickly, which overwhelms the skewers. If you are looking for authentic Japanese food, you will have better luck elsewhere. Felt a bit pricey.",11,,view review
B B.,30/03/24,,,,5,Simply delicious. Great service. Great suggestions from our waiter. Lobster tempura was amazing.,3,,view review
Rose C.,14/04/24,,,,4,"Wonderful selection of appetizers and entrees....
Stylish preparation!
Great, cordial service by staff...",11,,view review
Alyssa W.,7/6/24,,,,2,"I thought that this place was actually decent despite all the negative reviews. That being said, their sushi rolls are very hit and miss. The ones I got were good but the ones others in my party got were not. Overall, decent sushi but NOT worth their price. Would not recommend",106,,view review
Jack W.,8/6/24,,,,4,"First time at Ten. Had the chef's sushi selection, which was beautifully presented, fresh and delicious. especially liked the scallop. wife had sea bass and thoroughly enjoyed it. the setting is lovely.  it's expensive, so it won't be a regular thing, but we'll enjoy it on special occasions.",4,,view review
Dusty R.,11/7/24,,,,5,"Too many people knocking this place. 

I have been here countless times and I have nothing but a positive, well rounded experience from staff to food.

The wagyu, rolls, and drink selection is the real deal. If you are in the area, do not avoid this place because of someone's peanut allergy story or other knit picking haggles. The common folk will be delighted 100%.",5,,view review
Beth C.,18/09/24,,,,4,"The food was good but it was our bartender Say who made the evening memorable!! She was fabulous - interesting, engaging, educational (taught me some bartending secrets) and an absolute pleasure to talk to....we will return for the food but more to spend more time with Say.",3,,view review
Chat C.,18/10/24,,,,1,"REVIEW IS BASED ON ONLINE ORDER, the lack thereof

It's kind of sad and pathetic when you wait a few hours anticipating to order online at 5pm (opening time), but online orders via their website for any of their items say ""not available"" or ""ordering online is currently disabled. Please contact the restaurant to place the order"" and when you do, they drop your call and take 6 calls before they answer. The host said verbatim ""Sometimes we do takeout but not tonight because we are busy"". This person did not know why there is no consistency in online orders as to when it's available or when it's posted as unavailable, when asked. The answer is *never* based on looking at their social media. 

Please do not consider yourself a ""modern Japanese cuisine"" that prides themselves on being a landlocked sushi restaurants that curates fresh fish from the coast if you cannot provide your consumers the courtesy or notice that there is no online orders in advance. 

I completely that your establishment may be fully booked, but when someone as myself who usually ventures to this establishment *in person* cannot, and when my wife asks for quality sushi and she just delivered a baby but she gets disappointed, it's a shame. While this may be a one time thing for us, you just really need to do better communicating that there are no online orders before the restaurant opens. Period. This is a new experience I have learned about this establishment, and it sucks. 

Otherwise, fix the more to be desired Blue shell crab roll, please. I'll use this analogy to describe the current blue shell crab: When I ask for a Dr. Pepper, please don't pour diet Dr. Pepper in my cup. Thanks!",166,333,view review
Dale G.,22/10/24,,,,5,We are sushi snobs from California and this is hands down the best sushi in town. From now on we will go no where else. Not just the food but our waitress Jennifer was fantastic. We will be back!  That's a promise. Ty.,29,37,view review
Kate B.,25/11/24,,,,5,"LOVED this place. The food was amazing, and this was my first time at a nice sushi restaurant so it genuinely changes my life. I split a ton of different sushi rolls and they were all amazing. We asked our waitress for some recommendations and they were awesome. Very modern inside.",31,,view review
Evan M.,11/1/25,,,,5,"The sushi was the best we've had. The service was friendly and helpful, and the food came out very quickly. Highly recommend!",7,,view review
